signs,sentence
bonjour,Bonjour !
au revoir,Au revoir !
au revoir bientot,Au revoir bientôt !
au revoir merci,Au revoir Merci !
au revoir ami,Au revoir mon ami !
au revoir ami bientot,Au revoir mon ami bientôt !
merci,Merci !
merci bien,Merci bien !
merci aide,Merci de l'aide !
merci ami,Merci mon ami !
oui merci,Oui Merci !
non merci,Non Merci !
bonjour ami,Bonjour mon ami !
bonjour comment tu,Bonjour toi !
bonjour comment tu aujourd hui,Bonjour toi !
bonjour moi bien,Bonjour moi bien !
bonjour tu bien,Bonjour toi bien !
bonjour nous bien,Bonjour nous bien !
bonjour moi vouloir aide,Bonjour je veux de l'aide !
comment tu,Toi.
comment tu aujourd hui,Aujourd'hui toi.
bientot,Bientôt.
moi bien,Moi bien.
moi non bien,Moi bien.
moi bon,Moi bien.
tu bien,Toi bien.
tu non bien,Toi bien.
nous bien,Nous bien.
nous non bien,Nous bien.
aujourd hui moi bien,Aujourd'hui moi bien.
aujourd hui tu bien,Aujourd'hui toi bien.
aujourd hui nous bien,Aujourd'hui nous bien.
moi bien merci,Moi bien merci.
nous bien merci,Nous bien merci.
oui,Oui !
non,Non !
oui moi comprendre,Oui je comprends !
non moi non comprendre,Non je ne comprends pas !
oui moi vouloir,Oui je veux !
non moi non vouloir,Non je ne veux pas !
oui moi aller,Oui je pars !
non moi non aller,Non je ne pars pas !
oui moi bien,Oui moi bien !
non moi non bien,Non moi bien !
oui moi aimer,Oui j'aime !
non moi non aimer,Non je n'aime pas !
oui moi manger,Oui je mange !
non moi non manger,Non je ne mange pas !
oui tu vouloir,Oui tu veux !
non tu non vouloir,Non tu ne veux pas !
oui bientot,Oui bientôt !
moi manger,Je mange.
tu manger,Tu manges.
nous manger,Nous mangeons.
moi non manger,Je ne mange pas.
tu non manger,Tu ne manges pas.
nous non manger,Nous ne mangeons pas.
moi manger aujourd hui,Aujourd'hui je mange.
aujourd hui moi manger,Aujourd'hui je mange.
moi manger bientot,Je mange bientôt.
moi manger ici,Je mange ici.
nous manger ici,Nous mangeons ici.
moi manger bien,Je mange bien.
nous manger bien,Nous mangeons bien.
moi vouloir manger,Je veux manger.
tu vouloir manger,Tu veux manger.
nous vouloir manger,Nous voulons manger.
moi non vouloir manger,Je ne veux pas manger.
tu non vouloir manger,Tu ne veux pas manger.
moi vouloir manger bientot,Je veux manger bientôt.
moi vouloir manger ici,Je veux manger ici.
moi aimer manger,J'aime manger.
tu aimer manger,Tu aimes manger.
nous aimer manger,Nous aimons manger.
moi manger avec ami,Je mange avec mon ami.
tu manger avec nous,Tu manges avec nous.
nous manger avec ami,Nous mangeons avec mon ami.
moi vouloir manger avec ami,Je veux manger avec mon ami.
tu vouloir manger avec nous,Tu veux manger avec nous.
aujourd hui moi manger avec ami,Aujourd'hui je mange avec mon ami.
moi manger avec ami bientot,Je mange avec mon ami bientôt.
oui moi vouloir manger,Oui je veux manger !
non moi non vouloir manger,Non je ne veux pas manger !
moi boire,Je bois.
tu boire,Tu bois.
nous boire,Nous buvons.
moi non boire,Je ne bois pas.
tu non boire,Tu ne bois pas.
nous non boire,Nous ne buvons pas.
moi boire aujourd hui,Aujourd'hui je bois.
aujourd hui moi boire,Aujourd'hui je bois.
moi boire bientot,Je bois bientôt.
moi boire ici,Je bois ici.
moi boire bien,Je bois bien.
moi vouloir boire,Je veux boire.
tu vouloir boire,Tu veux boire.
nous vouloir boire,Nous voulons boire.
moi non vouloir boire,Je ne veux pas boire.
moi aimer boire,J'aime boire.
moi boire avec ami,Je bois avec mon ami.
nous boire avec ami,Nous buvons avec mon ami.
moi vouloir boire avec ami,Je veux boire avec mon ami.
moi manger boire,Je mange.
nous manger boire,Nous mangeons.
moi manger boire bien,Je mange bien.
oui moi vouloir boire,Oui je veux boire !
non moi non vouloir boire,Non je ne veux pas boire !
moi aller,Je pars.
tu aller,Tu pars.
nous aller,Nous partons.
moi non aller,Je ne pars pas.
tu non aller,Tu ne pars pas.
moi aller ici,Je pars ici.
tu aller ici,Tu pars ici.
nous aller ici,Nous partons ici.
moi aller bientot,Je pars bientôt.
nous aller bientot,Nous partons bientôt.
moi aller aujourd hui,Aujourd'hui je pars.
aujourd hui moi aller,Aujourd'hui je pars.
moi vouloir aller,Je veux aller.
tu vouloir aller,Tu veux aller.
nous vouloir aller,Nous voulons aller.
moi non vouloir aller,Je ne veux pas aller.
moi vouloir aller ici,Je veux aller ici.
moi vouloir aller bientot,Je veux aller bientôt.
moi aller avec ami,Je pars avec mon ami.
tu aller avec nous,Tu pars avec nous.
nous aller avec ami,Nous partons avec mon ami.
moi vouloir aller avec ami,Je veux aller avec mon ami.
tu vouloir aller avec nous,Tu veux aller avec nous.
moi vouloir aller avec tu,Je veux aller avec toi.
aujourd hui moi aller avec ami,Aujourd'hui je pars avec mon ami.
moi aller avec ami bientot,Je pars avec mon ami bientôt.
moi aimer,J'aime.
tu aimer,Tu aimes.
nous aimer,Nous aimons.
moi non aimer,Je n'aime pas.
tu non aimer,Tu n'aimes pas.
moi aimer ami,J'aime mon ami.
tu aimer ami,Tu aimes mon ami.
nous aimer ami,Nous aimons mon ami.
moi non aimer ami,Je n'aime pas mon ami.
moi aimer amour,J'aime de l'amour.
moi aimer bebe,J'aime le bébé.
tu aimer bebe,Tu aimes le bébé.
nous aimer bebe,Nous aimons le bébé.
moi aimer chat,J'aime le chat.
tu aimer chat,Tu aimes le chat.
nous aimer chat,Nous aimons le chat.
moi non aimer chat,Je n'aime pas le chat.
moi aimer aide,J'aime de l'aide.
moi aimer aller,J'aime aller.
moi aimer aller ici,J'aime aller ici.
moi aimer apprendre,J'aime apprendre.
moi aimer comprendre,J'aime comprendre.
moi aimer changer,J'aime changer.
tu aimer apprendre,Tu aimes apprendre.
nous aimer apprendre,Nous aimons apprendre.
moi aimer manger avec ami,J'aime manger avec mon ami.
moi aimer boire avec ami,J'aime boire avec mon ami.
moi aimer aller avec ami,J'aime aller avec mon ami.
aujourd hui moi aimer ami,Aujourd'hui j'aime mon ami.
