signs,sentence
bonjour,Bonjour !
bonjour,Bonne journée !
au revoir,Au revoir !
au revoir,À bientôt !
au revoir bientot,"Au revoir, à bientôt !"
au revoir merci,"Au revoir, merci !"
au revoir ami,"Au revoir, mon ami !"
au revoir ami bientot,"Au revoir mon ami, à bientôt !"
merci,Merci !
merci,Merci beaucoup !
merci bien,Merci beaucoup !
merci aide,Merci pour l'aide !
merci ami,"Merci, mon ami."
oui merci,"Oui, merci !"
non merci,Non merci.
bonjour ami,"Bonjour, mon ami !"
bonjour comment tu,"Bonjour, comment vas-tu ?"
bonjour comment tu aujourd hui,"Bonjour, comment vas-tu aujourd'hui ?"
bonjour moi bien,"Bonjour, je vais bien."
bonjour tu bien,"Bonjour, tu vas bien ?"
bonjour nous bien,"Bonjour, nous allons bien."
bonjour moi vouloir aide,"Bonjour, j'ai besoin d'aide."
comment tu,Comment vas-tu ?
comment tu aujourd hui,Comment vas-tu aujourd'hui ?
bientot,À bientôt !
moi bien,Je vais bien.
moi bien,Je suis bien.
moi non bien,Je ne vais pas bien.
moi bon,Je suis en forme.
tu bien,Tu vas bien ?
tu non bien,Tu ne vas pas bien ?
nous bien,Nous allons bien.
nous non bien,Nous n'allons pas bien.
aujourd hui moi bien,"Aujourd'hui, je vais bien."
aujourd hui tu bien,Tu vas bien aujourd'hui ?
aujourd hui nous bien,"Aujourd'hui, nous allons bien."
moi bien merci,"Je vais bien, merci."
nous bien merci,"Nous allons bien, merci."
oui,Oui.
oui,"Oui, bien sûr."
non,Non.
non,"Non, pas du tout."
oui moi comprendre,"Oui, je comprends."
non moi non comprendre,"Non, je ne comprends pas."
oui moi vouloir,"Oui, je veux bien."
non moi non vouloir,"Non, je ne veux pas."
oui moi aller,"Oui, je pars."
non moi non aller,"Non, je ne pars pas."
oui moi bien,"Oui, je vais bien."
non moi non bien,"Non, je ne vais pas bien."
oui moi aimer,"Oui, j'aime."
non moi non aimer,"Non, je n'aime pas."
oui moi manger,"Oui, je mange."
non moi non manger,"Non, je ne mange pas."
oui tu vouloir,Tu veux bien ?
non tu non vouloir,"Non, tu ne veux pas."
